,Date,Home,Away,DidHomeWin
0,2014-11-01,Charlotte,Memphis,False
1,2014-11-01,New Orleans,Dallas,False
2,2014-11-01,Orlando,Toronto,False
3,2014-11-01,Philadelphia,Miami,False
4,2014-11-01,Washington,Milwaukee,True
5,2014-11-01,Atlanta,Indiana,True
6,2014-11-01,Detroit,Brooklyn,False
7,2014-11-01,Houston,Boston,True
8,2014-11-01,Minnesota,Chicago,False
9,2014-11-01,Okla City,Denver,True
10,2014-11-01,Utah,Phoenix,True
11,2014-11-01,Golden State,LA Lakers,True
12,2014-11-02,LA Clippers,Sacramento,False
13,2014-11-02,Miami,Toronto,True
14,2014-11-02,New York,Charlotte,True
15,2014-11-02,Portland,Golden State,False
16,2014-11-03,Philadelphia,Houston,False
17,2014-11-03,Brooklyn,Okla City,True
18,2014-11-03,Memphis,New Orleans,True
19,2014-11-03,Dallas,Boston,True
20,2014-11-03,Denver,Sacramento,False
21,2014-11-03,LA Clippers,Utah,True
22,2014-11-04,Indiana,Milwaukee,False
23,2014-11-04,Miami,Houston,False
24,2014-11-04,New York,Washington,False
25,2014-11-04,Toronto,Okla City,True
26,2014-11-04,Chicago,Orlando,True
27,2014-11-04,New Orleans,Charlotte,True
28,2014-11-04,Portland,Cleveland,True
29,2014-11-04,LA Lakers,Phoenix,False
30,2014-11-05,Charlotte,Miami,True
31,2014-11-05,Philadelphia,Orlando,False
32,2014-11-05,Boston,Toronto,False
33,2014-11-05,Brooklyn,Minnesota,False
34,2014-11-05,Detroit,New York,True
35,2014-11-05,Milwaukee,Chicago,False
36,2014-11-05,Washington,Indiana,True
37,2014-11-05,San Antonio,Atlanta,True
38,2014-11-05,Phoenix,Memphis,False
39,2014-11-05,Utah,Cleveland,True
40,2014-11-05,Sacramento,Denver,True
41,2014-11-05,Golden State,LA Clippers,True
42,2014-11-06,Houston,San Antonio,True
43,2014-11-06,Portland,Dallas,True
44,2014-11-07,Charlotte,Atlanta,True
45,2014-11-07,Orlando,Minnesota,True
46,2014-11-07,Philadelphia,Chicago,False
47,2014-11-07,Boston,Indiana,True
48,2014-11-07,Brooklyn,New York,True
49,2014-11-07,Detroit,Milwaukee,True
50,2014-11-07,Toronto,Washington,True
51,2014-11-07,Okla City,Memphis,False
52,2014-11-07,Phoenix,Sacramento,False
53,2014-11-07,Utah,Dallas,False
54,2014-11-07,Denver,Cleveland,False
55,2014-11-08,LA Clippers,Portland,True
56,2014-11-08,Indiana,Washington,False
57,2014-11-08,Atlanta,New York,True
58,2014-11-08,Miami,Minnesota,True
59,2014-11-08,Chicago,Boston,False
60,2014-11-08,Houston,Golden State,False
61,2014-11-08,Milwaukee,Memphis,True
62,2014-11-08,San Antonio,New Orleans,False
63,2014-11-09,Brooklyn,Orlando,True
64,2014-11-09,Detroit,Utah,False
65,2014-11-09,Okla City,Sacramento,True
66,2014-11-09,Toronto,Philadelphia,True
67,2014-11-09,Dallas,Miami,False
68,2014-11-09,Phoenix,Golden State,True
69,2014-11-09,Portland,Denver,True
70,2014-11-09,LA Lakers,Charlotte,True
71,2014-11-10,Cleveland,New Orleans,True
72,2014-11-10,Indiana,Utah,True
73,2014-11-10,New York,Atlanta,False
74,2014-11-10,Chicago,Detroit,True
